commonName,lat,lon,geometry
Acton Town Station,51.503125,-0.280165,POINT (-0.280165 51.503125)
Acton Town Underground Station,51.50290233333334,-0.28013150000000003,POINT (-0.2801315 51.50290233333334)
Aldgate East Station,51.515346666666666,-0.07108166666666667,POINT (-0.0710816666666667 51.515346666666666)
Aldgate East Underground Station,51.51524625,-0.07184525,POINT (-0.07184525 51.51524625)
Aldgate Station,51.51405,-0.07528,POINT (-0.07528 51.51405)
Aldgate Underground Station,51.514160000000004,-0.07555316666666667,POINT (-0.0755531666666667 51.514160000000004)
Alperton Station,51.54063,-0.29913,POINT (-0.29913 51.54063)
Alperton Underground Station,51.5406645,-0.29969124999999996,POINT (-0.29969125 51.5406645)
Amersham,51.674207,-0.60759,POINT (-0.60759 51.674207)
Amersham Underground Station,51.67406,-0.6075334,POINT (-0.6075334 51.67406)
Angel Station,51.53213933333333,-0.10608633333333334,POINT (-0.1060863333333333 51.53213933333333)
Angel Underground Station,51.53236933333333,-0.10590866666666666,POINT (-0.1059086666666667 51.53236933333333)
Archway Station,51.565114,-0.13491975,POINT (-0.13491975 51.565114)
Archway Underground Station,51.565378,-0.13474133333333335,POINT (-0.1347413333333334 51.565378)
Arnos Grove Station,51.61606,-0.1334,POINT (-0.1334 51.61606)
Arnos Grove Underground Station,51.6163326,-0.1330612,POINT (-0.1330612 51.6163326)
Arsenal,51.5584,-0.10568,POINT (-0.10568 51.5584)
Arsenal Underground Station,51.5586725,-0.107687,POINT (-0.107687 51.5586725)
Baker Street Station,51.52242,-0.1570775,POINT (-0.1570775 51.52242)
Baker Street Underground Station,51.5228771,-0.1571622,POINT (-0.1571622 51.5228771)
Balham,51.443259,-0.152707,POINT (-0.152707 51.443259)
Balham Station,51.44348766666667,-0.15255233333333332,POINT (-0.1525523333333333 51.44348766666667)
Balham Station  / Balham Station Road,51.44337,-0.153065,POINT (-0.153065 51.44337)
Balham Underground Station,51.443515,-0.152753,POINT (-0.152753 51.443515)
Bank,51.513395,-0.089095,POINT (-0.089095 51.513395)
Bank Underground Station,51.513059,-0.088686125,POINT (-0.088686125 51.513059)
Barbican Station,51.52031,-0.09753,POINT (-0.09753 51.52031)
Barbican Underground Station,51.520292999999995,-0.09799574999999999,POINT (-0.09799575 51.520292999999995)
Barking,51.539413,0.080988,POINT (0.080988 51.539413)
Barking Underground Station,51.53949720000001,0.08095719999999999,POINT (0.0809572 51.53949720000001)
Barkingside Station,51.58582,0.08836,POINT (0.08836 51.58582)
Barkingside Underground Station,51.585730749999996,0.08862300000000001,POINT (0.088623 51.585730749999996)
Barons Court,51.49037,-0.21355,POINT (-0.21355 51.49037)
Barons Court Underground Station,51.490377333333335,-0.21384183333333331,POINT (-0.2138418333333333 51.490377333333335)
Battersea Power Station Underground Station,51.479932,-0.142142,POINT (-0.142142 51.479932)
Bayswater Station,51.51239,-0.18769,POINT (-0.18769 51.51239)
Bayswater Underground Station,51.512315,-0.188059,POINT (-0.188059 51.512315)
Becontree Station,51.5404,0.12751,POINT (0.12751 51.5404)
Becontree Underground Station,51.540351,0.127035,POINT (0.127035 51.540351)
Belsize Park Station,51.55041,-0.16447,POINT (-0.16447 51.55041)
Belsize Park Underground Station,51.550348,-0.16471125,POINT (-0.16471125 51.550348)
Bermondsey Station,51.49814,-0.06363,POINT (-0.06363 51.49814)
Bermondsey Underground Station,51.4978445,-0.06386675,POINT (-0.06386675 51.4978445)
Bethnal Green,51.527171,-0.054557,POINT (-0.054557 51.527171)
Bethnal Green Station,51.5274225,-0.05544,POINT (-0.05544 51.5274225)
Bethnal Green Underground Station,51.527166,-0.055201,POINT (-0.055201 51.527166)
Blackfriars,51.509613,-0.104166,POINT (-0.104166 51.509613)
Blackfriars Underground Station,51.511596,-0.1034745,POINT (-0.1034745 51.511596)
