UniqueId,Name,Latitude,Longitude,Line_id
940GZZLUHAW,Harrow & Wealdstone Underground Station,51.592268,-0.335217,bakerloo
940GZZLUKEN,Kenton Underground Station,51.581756,-0.31691,bakerloo
940GZZLUSKT,South Kenton Underground Station,51.570232,-0.308433,bakerloo
940GZZLUNWY,North Wembley Underground Station,51.562551,-0.304,bakerloo
940GZZLUWYC,Wembley Central Underground Station,51.552304,-0.296852,bakerloo
940GZZLUSGP,Stonebridge Park Underground Station,51.543959,-0.275892,bakerloo
940GZZLUHSN,Harlesden Underground Station,51.53631,-0.257883,bakerloo
940GZZLUWJN,Willesden Junction Underground Station,51.532259,-0.244283,bakerloo
940GZZLUKSL,Kensal Green Underground Station,51.530539,-0.225016,bakerloo
940GZZLUQPS,Queen's Park Underground Station,51.534158,-0.204574,bakerloo
940GZZLUKPK,Kilburn Park Underground Station,51.534979,-0.194232,bakerloo
940GZZLUMVL,Maida Vale Underground Station,51.529777,-0.185758,bakerloo
940GZZLUWKA,Warwick Avenue Underground Station,51.523263,-0.183783,bakerloo
940GZZLUPAC,Paddington Underground Station,51.516581,-0.175689,bakerloo
940GZZLUERB,Edgware Road (Bakerloo) Underground Station,51.520299,-0.17015,bakerloo
940GZZLUMYB,Marylebone Underground Station,51.522322,-0.163207,bakerloo
940GZZLUBST,Baker Street Underground Station,51.522883,-0.15713,bakerloo
940GZZLURGP,Regent's Park Underground Station,51.523344,-0.146444,bakerloo
940GZZLUOXC,Oxford Circus Underground Station,51.515224,-0.141903,bakerloo
940GZZLUPCC,Piccadilly Circus Underground Station,51.51005,-0.133798,bakerloo
940GZZLUCHX,Charing Cross Underground Station,51.50741,-0.127277,bakerloo
940GZZLUEMB,Embankment Underground Station,51.507058,-0.122666,bakerloo
940GZZLUWLO,Waterloo Underground Station,51.503299,-0.11478,bakerloo
940GZZLULBN,Lambeth North Underground Station,51.498808,-0.112315,bakerloo
940GZZLUEAC,Elephant & Castle Underground Station,51.494536,-0.100606,bakerloo
940GZZLUEPG,Epping Underground Station,51.69368,0.113767,central
940GZZLUTHB,Theydon Bois Underground Station,51.671759,0.103085,central
940GZZLUDBN,Debden Underground Station,51.645386,0.083782,central
940GZZLULGN,Loughton Underground Station,51.641443,0.055476,central
940GZZLUBKH,Buckhurst Hill Underground Station,51.626605,0.046757,central
940GZZLUWOF,Woodford Underground Station,51.606899,0.03397,central
940GZZLUSWF,South Woodford Underground Station,51.591907,0.027338,central
940GZZLUSNB,Snaresbrook Underground Station,51.580678,0.02144,central
940GZZLULYS,Leytonstone Underground Station,51.568324,0.008194,central
940GZZLULYN,Leyton Underground Station,51.556589,-0.005523,central
940GZZLUSTD,Stratford Underground Station,51.541806,-0.003458,central
940GZZLUMED,Mile End Underground Station,51.525122,-0.03364,central
940GZZLUBLG,Bethnal Green Underground Station,51.527222,-0.055506,central
940GZZLULVT,Liverpool Street Underground Station,51.517372,-0.083182,central
940GZZLUBNK,Bank Underground Station,51.513356,-0.088899,central
940GZZLUSPU,St. Paul's Underground Station,51.514936,-0.097567,central
940GZZLUCHL,Chancery Lane Underground Station,51.518247,-0.111583,central
940GZZLUHBN,Holborn Underground Station,51.51758,-0.120475,central
940GZZLUTCR,Tottenham Court Road Underground Station,51.516426,-0.13041,central
940GZZLUOXC,Oxford Circus Underground Station,51.515224,-0.141903,central
940GZZLUBND,Bond Street Underground Station,51.514304,-0.149723,central
940GZZLUMBA,Marble Arch Underground Station,51.513424,-0.158953,central
940GZZLULGT,Lancaster Gate Underground Station,51.511723,-0.175494,central
940GZZLUQWY,Queensway Underground Station,51.510312,-0.187152,central
940GZZLUNHG,Notting Hill Gate Underground Station,51.509128,-0.196104,central
940GZZLUHPK,Holland Park Underground Station,51.507143,-0.205679,central
940GZZLUSBC,Shepherd's Bush (Central) Underground Station,51.504376,-0.218813,central
940GZZLUWCY,White City Underground Station,51.511959,-0.224297,central
940GZZLUEAN,East Acton Underground Station,51.516612,-0.247248,central
940GZZLUNAN,North Acton Underground Station,51.523524,-0.259755,central
940GZZLUHGR,Hanger Lane Underground Station,51.530177,-0.292704,central
940GZZLUPVL,Perivale Underground Station,51.536717,-0.323446,central
940GZZLUGFD,Greenford Underground Station,51.542424,-0.34605,central
940GZZLUNHT,Northolt Underground Station,51.548236,-0.368699,central
940GZZLUSRP,South Ruislip Underground Station,51.556853,-0.398915,central
940GZZLURSG,Ruislip Gardens Underground Station,51.560736,-0.41071,central
940GZZLUWRP,West Ruislip Underground Station,51.569688,-0.437886,central
